Detector Type/ Descriptor Type  ;Matches;Process Time;Total Time;;Detector Type/ Descriptor Type  ;Total Matches;Total Process Time;Total Total Time;Total Matches / Total Total Time;;
AKAZE/FREAK;123;1,2621;52,8759;;;;;;;;
AKAZE/FREAK;132;1,4106;55,7903;;;;;;;;
AKAZE/FREAK;145;1,3893;61,7944;;;;;;;;
AKAZE/FREAK;148;1,3258;63,1693;;;;;;;;
AKAZE/FREAK;137;3,3744;78,7188;;AKAZE/FREAK;1188;13,227;553,8797;2;;
AKAZE/AKAZE;138;1,1272;63,2715;;;;;;;;
AKAZE/AKAZE;138;0,9199;59,3834;;;;;;;;
AKAZE/AKAZE;133;1,3908;66,6561;;;;;;;;
AKAZE/AKAZE;127;1,3836;60,3998;;;;;;;;
AKAZE/AKAZE;129;1,3378;60,5085;;;;;;;;
AKAZE/AKAZE;146;1,5761;64,4704;;;;;;;;
AKAZE/AKAZE;147;1,5557;64,4206;;;;;;;;
AKAZE/AKAZE;151;1,3095;73,1527;;;;;;;;
AKAZE/AKAZE;150;2,7847;80,3538;;AKAZE/AKAZE;1259;13,3853;592,6168;2;;
AKAZE/SIFT;134;0,7868;66,0862;;;;;;;;
AKAZE/SIFT;134;1,0174;60,7932;;;;;;;;
AKAZE/SIFT;130;1,3718;64,7201;;;;;;;;
AKAZE/SIFT;136;1,3492;63,7525;;;;;;;;
AKAZE/SIFT;137;1,3396;62,5797;;;;;;;;
AKAZE/SIFT;147;1,4329;62,2561;;;;;;;;
AKAZE/SIFT;147;1,4668;61,0948;;;;;;;;
AKAZE/SIFT;154;1,6082;64,238;;;;;;;;
AKAZE/SIFT;151;1,7969;68,2684;;AKAZE/SIFT;1270;12,1696;573,789;2;;
SIFT/BRISK;64;0,7451;61,7195;;;;;;;;
SIFT/BRISK;66;0,8608;61,5101;;;;;;;;
SIFT/BRISK;63;1,3482;61,5273;;;;;;;;
SIFT/BRISK;67;1,6842;62,7097;;;;;;;;
SIFT/BRISK;59;1,2918;60,2547;;;;;;;;
SIFT/BRISK;64;1,4022;62,7122;;;;;;;;
SIFT/BRISK;64;2,107;61,516;;;;;;;;
SIFT/BRISK;67;1,3615;73,1381;;;;;;;;
SIFT/BRISK;80;1,6354;62,5471;;SIFT/BRISK;594;12,4362;567,6347;1;;
SIFT/BRIEF;86;0,8058;62,1065;;;;;;;;
SIFT/BRIEF;78;0,8326;52,6622;;;;;;;;
SIFT/BRIEF;77;1,2726;69,3693;;;;;;;;
SIFT/BRIEF;86;1,3708;65,2388;;;;;;;;
SIFT/BRIEF;69;1,2868;60,0632;;;;;;;;
SIFT/BRIEF;74;1,3622;66,4119;;;;;;;;
SIFT/BRIEF;76;1,4705;75,663;;;;;;;;
SIFT/BRIEF;70;1,3241;64,8118;;;;;;;;
SIFT/BRIEF;88;1,4858;65,9311;;SIFT/BRIEF;704;11,2112;582,2578;1;;
SIFT/FREAK;64;0,7802;56,9714;;;;;;;;
SIFT/FREAK;72;0,9993;58,165;;;;;;;;
SIFT/FREAK;66;1,7962;59,5975;;;;;;;;
SIFT/FREAK;67;1,9487;61,8569;;;;;;;;
SIFT/FREAK;63;1,4846;60,1984;;;;;;;;
SIFT/FREAK;58;1,301;63,3762;;;;;;;;
SIFT/FREAK;64;1,2587;60,3243;;;;;;;;
SIFT/FREAK;65;1,4564;64,2034;;;;;;;;
SIFT/FREAK;79;1,3199;57,2012;;SIFT/FREAK;598;12,345;541,8943;1;;
SIFT/SIFT;82;1,4104;59,2775;;;;;;;;
SIFT/SIFT;81;1,0761;60,1414;;;;;;;;
SIFT/SIFT;86;1,9866;71,4018;;;;;;;;
SIFT/SIFT;94;1,4325;66,7145;;;;;;;;
SIFT/SIFT;90;1,3337;57,2111;;;;;;;;
SIFT/SIFT;81;1,285;57,9043;;;;;;;;
SIFT/SIFT;82;1,5096;59,2698;;;;;;;;
SIFT/SIFT;102;1,3564;61,6943;;;;;;;;
SIFT/SIFT;104;1,5263;72,7464;;SIFT/SIFT;802;12,9166;566,3611;1;;
